Job Title;Rating;Company Name;Type of ownership;Industry;Sector;Revenue;Competitors;Hourly;Glassdoor estimates;Employer estimates;Employer provided;Min Salary Estimate;Max Salary Estimate;Average Salary Estimate;Location City;Location State;Headquarters City;Headquarters State;Same state;Same city;Size Ordinal Encoding;Age Company;AWS;Python;Master degree;Bachelor degree;PHD
Data Engineer;3.4;Sapphire Digital;Company - Private;Internet;Information Technology;Unknown / Non-Applicable;Zocdoc, Healthgrades;0;1;0;0;54.0;102.0;78.0;Lyndhurst; NJ;Lyndhurst; NJ;1;1;3.0;3;0;1;0;1;0
Data Scientist;3.7;Takeda Pharmaceuticals;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD);Novartis, Baxter, Pfizer;0;1;0;0;83.0;144.0;113.5;Cambridge; MA;OSAKA; Japan;0;0;7.0;241;0;1;0;0;1
Data Scientist;4.6;<intent>;Company - Private;Internet;Information Technology;$100 to $500 million (USD);Clicktripz, SmarterTravel;0;1;0;0;120.0;160.0;140.0;New York; NY;New York; NY;1;1;2.0;13;0;1;0;0;0
Data Scientist;3.2;Formation;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;-1;0;1;0;0;102.0;163.0;132.5;San Francisco; CA;San Francisco; CA;1;1;2.0;7;0;0;0;0;0
Data Engineer;4.0;Autodesk;Company - Public;Computer Hardware & Software;Information Technology;$2 to $5 billion (USD);-1;0;1;0;0;76.0;140.0;108.0;San Francisco; CA;San Rafael; CA;1;0;6.0;40;0;1;0;0;0
Ag Data Scientist;4.6;Beck's Hybrids;Company - Private;Farm Support Services;Agriculture & Forestry;$50 to $100 million (USD);-1;0;1;0;0;60.0;101.0;80.5;Atlanta; IN;Atlanta; IN;1;1;4.0;85;0;0;0;0;0
Data Scientist;2.8;DrFirst;Company - Private;Health Care Services & Hospitals;Health Care;Unknown / Non-Applicable;-1;0;1;0;0;82.0;133.0;107.5;Rockville; MD;Rockville; MD;1;1;3.0;22;0;1;0;0;1
Data Engineer;4.7;Object Partners;Company - Private;Consulting;Business Services;$25 to $50 million (USD);Solution Design Group, Intertech (Minnesota);0;1;0;0;65.0;125.0;95.0;Minneapolis; MN;Minneapolis; MN;1;1;2.0;26;1;0;0;0;0
Data Scientist II;3.0;L.A. Care Health Plan;Nonprofit Organization;Health Care Services & Hospitals;Health Care;Unknown / Non-Applicable;Health Net, Kaiser Permanente, Molina Healthcare;0;1;0;0;91.0;148.0;119.5;Los Angeles; CA;Los Angeles; CA;1;1;5.0;25;0;1;1;1;0
Senior Data Engineer;3.2;Red Ventures;Company - Private;Advertising & Marketing;Business Services;$1 to $2 billion (USD);Clearlink, Credit Karma, LendingTree;0;1;0;0;95.0;173.0;134.0;Charlotte; NC;Fort Mill; SC;0;0;5.0;22;1;0;0;0;0
Data Scientist;4.4;Quick Base;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;-1;0;1;0;0;77.0;124.0;100.5;Cambridge; MA;Cambridge; MA;1;1;3.0;23;0;1;0;0;0
Data Scientist;3.5;The E.W. Scripps Company;Company - Public;TV Broadcast & Cable Networks;Media;$500 million to $1 billion (USD);-1;0;1;0;0;80.0;135.0;107.5;Cincinnati; OH;Cincinnati; OH;1;1;5.0;144;0;1;0;0;0
Data Engineer;4.0;Upside Business Travel;Company - Private;Internet;Information Technology;Unknown / Non-Applicable;-1;0;1;0;0;85.0;159.0;122.0;Washington; DC;Washington; DC;1;1;2.0;7;1;1;0;0;0
Data Engineer;4.3;Equity Residential;Company - Public;Real Estate;Real Estate;$2 to $5 billion (USD);UDR, AvalonBay Communities, Essex Property Trust;0;0;1;0;80.0;105.0;92.5;Chicago; IL;Chicago; IL;1;1;5.0;29;0;1;0;1;0
Data Analyst;2.3;Synagro;Company - Private;Research & Development;Business Services;$100 to $500 million (USD);-1;0;1;0;0;43.0;81.0;62.0;Baltimore; MD;Baltimore; MD;1;1;4.0;36;0;0;0;0;0
Project Scientist;4.0;Alliance Source Testing;Unknown;Architectural & Engineering Services;Business Services;$25 to $50 million (USD);-1;0;1;0;0;29.0;50.0;39.5;Alabaster; AL;Decatur; AL;1;0;2.0;22;0;0;0;0;0
Data Scientist;3.6;Accuride International;Company - Private;Industrial Manufacturing;Manufacturing;$100 to $500 million (USD);-1;0;1;0;0;82.0;133.0;107.5;Santa Fe Springs, Los Angeles; CA;Santa Fe Springs; CA;1;0;5.0;56;0;0;0;0;1
